"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"04/01/2015 07:00:00 - 04/01/2015 08:00:00","BZN|CH","Without Sequence","17.79","",""
"04/01/2015 08:00:00 - 04/01/2015 09:00:00","BZN|CH","Without Sequence","18.86","",""
"04/01/2015 09:00:00 - 04/01/2015 10:00:00","BZN|CH","Without Sequence","28.83","",""
"04/01/2015 10:00:00 - 04/01/2015 11:00:00","BZN|CH","Without Sequence","33.02","",""
"04/01/2015 11:00:00 - 04/01/2015 12:00:00","BZN|CH","Without Sequence","35.64","",""
"04/01/2015 12:00:00 - 04/01/2015 13:00:00","BZN|CH","Without Sequence","37.30","",""
"04/01/2015 13:00:00 - 04/01/2015 14:00:00","BZN|CH","Without Sequence","35.41","",""
"04/01/2015 14:00:00 - 04/01/2015 15:00:00","BZN|CH","Without Sequence","30.34","",""
"04/01/2015 15:00:00 - 04/01/2015 16:00:00","BZN|CH","Without Sequence","26.52","",""
"04/01/2015 16:00:00 - 04/01/2015 17:00:00","BZN|CH","Without Sequence","26.51","",""
"04/01/2015 17:00:00 - 04/01/2015 18:00:00","BZN|CH","Without Sequence","42.98","",""
"04/01/2015 18:00:00 - 04/01/2015 19:00:00","BZN|CH","Without Sequence","49.85","",""
"04/01/2015 19:00:00 - 04/01/2015 20:00:00","BZN|CH","Without Sequence","48.61","",""
"04/01/2015 20:00:00 - 04/01/2015 21:00:00","BZN|CH","Without Sequence","48.14","",""
"04/01/2015 21:00:00 - 04/01/2015 22:00:00","BZN|CH","Without Sequence","43.99","",""
"04/01/2015 22:00:00 - 04/01/2015 23:00:00","BZN|CH","Without Sequence","46.03","",""
"04/01/2015 23:00:00 - 05/01/2015 00:00:00","BZN|CH","Without Sequence","43.04","",""
"05/01/2015 00:00:00 - 05/01/2015 01:00:00","BZN|CH","Without Sequence","37.80","",""
"05/01/2015 01:00:00 - 05/01/2015 02:00:00","BZN|CH","Without Sequence","34.09","",""
"05/01/2015 02:00:00 - 05/01/2015 03:00:00","BZN|CH","Without Sequence","31.89","",""
"05/01/2015 03:00:00 - 05/01/2015 04:00:00","BZN|CH","Without Sequence","28.50","",""
"05/01/2015 04:00:00 - 05/01/2015 05:00:00","BZN|CH","Without Sequence","27.23","",""
"05/01/2015 05:00:00 - 05/01/2015 06:00:00","BZN|CH","Without Sequence","32.26","",""
"05/01/2015 06:00:00 - 05/01/2015 07:00:00","BZN|CH","Without Sequence","43.72","",""
"05/01/2015 07:00:00 - 05/01/2015 08:00:00","BZN|CH","Without Sequence","49.94","",""
"05/01/2015 08:00:00 - 05/01/2015 09:00:00","BZN|CH","Without Sequence","51.98","",""
"05/01/2015 09:00:00 - 05/01/2015 10:00:00","BZN|CH","Without Sequence","53.00","",""
"05/01/2015 10:00:00 - 05/01/2015 11:00:00","BZN|CH","Without Sequence","52.71","",""
"05/01/2015 11:00:00 - 05/01/2015 12:00:00","BZN|CH","Without Sequence","52.35","",""
"05/01/2015 12:00:00 - 05/01/2015 13:00:00","BZN|CH","Without Sequence","52.02","",""
"05/01/2015 13:00:00 - 05/01/2015 14:00:00","BZN|CH","Without Sequence","50.40","",""
"05/01/2015 14:00:00 - 05/01/2015 15:00:00","BZN|CH","Without Sequence","50.55","",""
"05/01/2015 15:00:00 - 05/01/2015 16:00:00","BZN|CH","Without Sequence","49.46","",""
"05/01/2015 16:00:00 - 05/01/2015 17:00:00","BZN|CH","Without Sequence","50.79","",""
"05/01/2015 17:00:00 - 05/01/2015 18:00:00","BZN|CH","Without Sequence","58.08","",""
"05/01/2015 18:00:00 - 05/01/2015 19:00:00","BZN|CH","Without Sequence","64.63","",""
"05/01/2015 19:00:00 - 05/01/2015 20:00:00","BZN|CH","Without Sequence","61.17","",""
"05/01/2015 20:00:00 - 05/01/2015 21:00:00","BZN|CH","Without Sequence","54.19","",""
"05/01/2015 21:00:00 - 05/01/2015 22:00:00","BZN|CH","Without Sequence","51.16","",""
"05/01/2015 22:00:00 - 05/01/2015 23:00:00","BZN|CH","Without Sequence","50.64","",""
"05/01/2015 23:00:00 - 06/01/2015 00:00:00","BZN|CH","Without Sequence","48.78","",""
"06/01/2015 00:00:00 - 06/01/2015 01:00:00","BZN|CH","Without Sequence","43.40","",""
"06/01/2015 01:00:00 - 06/01/2015 02:00:00","BZN|CH","Without Sequence","39.86","",""
"06/01/2015 02:00:00 - 06/01/2015 03:00:00","BZN|CH","Without Sequence","38.04","",""
"06/01/2015 03:00:00 - 06/01/2015 04:00:00","BZN|CH","Without Sequence","33.14","",""
"06/01/2015 04:00:00 - 06/01/2015 05:00:00","BZN|CH","Without Sequence","30.21","",""
"06/01/2015 05:00:00 - 06/01/2015 06:00:00","BZN|CH","Without Sequence","35.88","",""
"06/01/2015 06:00:00 - 06/01/2015 07:00:00","BZN|CH","Without Sequence","41.41","",""
"06/01/2015 07:00:00 - 06/01/2015 08:00:00","BZN|CH","Without Sequence","50.67","",""
"06/01/2015 08:00:00 - 06/01/2015 09:00:00","BZN|CH","Without Sequence","50.26","",""
"06/01/2015 09:00:00 - 06/01/2015 10:00:00","BZN|CH","Without Sequence","49.79","",""
"06/01/2015 10:00:00 - 06/01/2015 11:00:00","BZN|CH","Without Sequence","48.34","",""
"06/01/2015 11:00:00 - 06/01/2015 12:00:00","BZN|CH","Without Sequence","47.43","",""
"06/01/2015 12:00:00 - 06/01/2015 13:00:00","BZN|CH","Without Sequence","46.26","",""
"06/01/2015 13:00:00 - 06/01/2015 14:00:00","BZN|CH","Without Sequence","44.25","",""
"06/01/2015 14:00:00 - 06/01/2015 15:00:00","BZN|CH","Without Sequence","43.79","",""
"06/01/2015 15:00:00 - 06/01/2015 16:00:00","BZN|CH","Without Sequence","43.94","",""
"06/01/2015 16:00:00 - 06/01/2015 17:00:00","BZN|CH","Without Sequence","47.01","",""
"06/01/2015 17:00:00 - 06/01/2015 18:00:00","BZN|CH","Without Sequence","52.45","",""
"06/01/2015 18:00:00 - 06/01/2015 19:00:00","BZN|CH","Without Sequence","54.26","",""
"06/01/2015 19:00:00 - 06/01/2015 20:00:00","BZN|CH","Without Sequence","52.98","",""
"06/01/2015 20:00:00 - 06/01/2015 21:00:00","BZN|CH","Without Sequence","49.96","",""
"06/01/2015 21:00:00 - 06/01/2015 22:00:00","BZN|CH","Without Sequence","47.92","",""
"06/01/2015 22:00:00 - 06/01/2015 23:00:00","BZN|CH","Without Sequence","48.94","",""
"06/01/2015 23:00:00 - 07/01/2015 00:00:00","BZN|CH","Without Sequence","47.98","",""
"07/01/2015 00:00:00 - 07/01/2015 01:00:00","BZN|CH","Without Sequence","43.50","",""
"07/01/2015 01:00:00 - 07/01/2015 02:00:00","BZN|CH","Without Sequence","39.46","",""
"07/01/2015 02:00:00 - 07/01/2015 03:00:00","BZN|CH","Without Sequence","37.08","",""
"07/01/2015 03:00:00 - 07/01/2015 04:00:00","BZN|CH","Without Sequence","35.06","",""
"07/01/2015 04:00:00 - 07/01/2015 05:00:00","BZN|CH","Without Sequence","33.69","",""
"07/01/2015 05:00:00 - 07/01/2015 06:00:00","BZN|CH","Without Sequence","38.02","",""
"07/01/2015 06:00:00 - 07/01/2015 07:00:00","BZN|CH","Without Sequence","47.98","",""
"07/01/2015 07:00:00 - 07/01/2015 08:00:00","BZN|CH","Without Sequence","52.41","",""
"07/01/2015 08:00:00 - 07/01/2015 09:00:00","BZN|CH","Without Sequence","53.90","",""
"07/01/2015 09:00:00 - 07/01/2015 10:00:00","BZN|CH","Without Sequence","54.95","",""
"07/01/2015 10:00:00 - 07/01/2015 11:00:00","BZN|CH","Without Sequence","54.22","",""
"07/01/2015 11:00:00 - 07/01/2015 12:00:00","BZN|CH","Without Sequence","53.76","",""
"07/01/2015 12:00:00 - 07/01/2015 13:00:00","BZN|CH","Without Sequence","51.98","",""
"07/01/2015 13:00:00 - 07/01/2015 14:00:00","BZN|CH","Without Sequence","50.42","",""
"07/01/2015 14:00:00 - 07/01/2015 15:00:00","BZN|CH","Without Sequence","48.95","",""
"07/01/2015 15:00:00 - 07/01/2015 16:00:00","BZN|CH","Without Sequence","48.92","",""
"07/01/2015 16:00:00 - 07/01/2015 17:00:00","BZN|CH","Without Sequence","49.79","",""
"07/01/2015 17:00:00 - 07/01/2015 18:00:00","BZN|CH","Without Sequence","52.85","",""
"07/01/2015 18:00:00 - 07/01/2015 19:00:00","BZN|CH","Without Sequence","55.86","",""
"07/01/2015 19:00:00 - 07/01/2015 20:00:00","BZN|CH","Without Sequence","54.04","",""
"07/01/2015 20:00:00 - 07/01/2015 21:00:00","BZN|CH","Without Sequence","50.30","",""
"07/01/2015 21:00:00 - 07/01/2015 22:00:00","BZN|CH","Without Sequence","46.47","",""
"07/01/2015 22:00:00 - 07/01/2015 23:00:00","BZN|CH","Without Sequence","47.86","",""
"07/01/2015 23:00:00 - 08/01/2015 00:00:00","BZN|CH","Without Sequence","45.55","",""
"08/01/2015 00:00:00 - 08/01/2015 01:00:00","BZN|CH","Without Sequence","44.19","",""
"08/01/2015 01:00:00 - 08/01/2015 02:00:00","BZN|CH","Without Sequence","42.18","",""
"08/01/2015 02:00:00 - 08/01/2015 03:00:00","BZN|CH","Without Sequence","41.09","",""
"08/01/2015 03:00:00 - 08/01/2015 04:00:00","BZN|CH","Without Sequence","40.98","",""
"08/01/2015 04:00:00 - 08/01/2015 05:00:00","BZN|CH","Without Sequence","39.18","",""
"08/01/2015 05:00:00 - 08/01/2015 06:00:00","BZN|CH","Without Sequence","44.20","",""
"08/01/2015 06:00:00 - 08/01/2015 07:00:00","BZN|CH","Without Sequence","47.02","",""
"08/01/2015 07:00:00 - 08/01/2015 08:00:00","BZN|CH","Without Sequence","49.44","",""
"08/01/2015 08:00:00 - 08/01/2015 09:00:00","BZN|CH","Without Sequence","49.99","",""
"08/01/2015 09:00:00 - 08/01/2015 10:00:00","BZN|CH","Without Sequence","49.43","",""
"08/01/2015 10:00:00 - 08/01/2015 11:00:00","BZN|CH","Without Sequence","48.76","",""
"08/01/2015 11:00:00 - 08/01/2015 12:00:00","BZN|CH","Without Sequence","48.04","",""
"08/01/2015 12:00:00 - 08/01/2015 13:00:00","BZN|CH","Without Sequence","48.09","",""
"08/01/2015 13:00:00 - 08/01/2015 14:00:00","BZN|CH","Without Sequence","48.35","",""
"08/01/2015 14:00:00 - 08/01/2015 15:00:00","BZN|CH","Without Sequence","48.41","",""
"08/01/2015 15:00:00 - 08/01/2015 16:00:00","BZN|CH","Without Sequence","48.42","",""
"08/01/2015 16:00:00 - 08/01/2015 17:00:00","BZN|CH","Without Sequence","48.47","",""
"08/01/2015 17:00:00 - 08/01/2015 18:00:00","BZN|CH","Without Sequence","48.10","",""
"08/01/2015 18:00:00 - 08/01/2015 19:00:00","BZN|CH","Without Sequence","47.42","",""
"08/01/2015 19:00:00 - 08/01/2015 20:00:00","BZN|CH","Without Sequence","46.75","",""
"08/01/2015 20:00:00 - 08/01/2015 21:00:00","BZN|CH","Without Sequence","46.69","",""
"08/01/2015 21:00:00 - 08/01/2015 22:00:00","BZN|CH","Without Sequence","46.31","",""
"08/01/2015 22:00:00 - 08/01/2015 23:00:00","BZN|CH","Without Sequence","46.91","",""
"08/01/2015 23:00:00 - 09/01/2015 00:00:00","BZN|CH","Without Sequence","41.00","",""
"09/01/2015 00:00:00 - 09/01/2015 01:00:00","BZN|CH","Without Sequence","42.44","",""
"09/01/2015 01:00:00 - 09/01/2015 02:00:00","BZN|CH","Without Sequence","41.31","",""
"09/01/2015 02:00:00 - 09/01/2015 03:00:00","BZN|CH","Without Sequence","41.98","",""
"09/01/2015 03:00:00 - 09/01/2015 04:00:00","BZN|CH","Without Sequence","41.06","",""
"09/01/2015 04:00:00 - 09/01/2015 05:00:00","BZN|CH","Without Sequence","41.07","",""
"09/01/2015 05:00:00 - 09/01/2015 06:00:00","BZN|CH","Without Sequence","44.07","",""
"09/01/2015 06:00:00 - 09/01/2015 07:00:00","BZN|CH","Without Sequence","45.48","",""
"09/01/2015 07:00:00 - 09/01/2015 08:00:00","BZN|CH","Without Sequence","46.98","",""
"09/01/2015 08:00:00 - 09/01/2015 09:00:00","BZN|CH","Without Sequence","47.93","",""
"09/01/2015 09:00:00 - 09/01/2015 10:00:00","BZN|CH","Without Sequence","47.28","",""
"09/01/2015 10:00:00 - 09/01/2015 11:00:00","BZN|CH","Without Sequence","47.95","",""
"09/01/2015 11:00:00 - 09/01/2015 12:00:00","BZN|CH","Without Sequence","47.95","",""
"09/01/2015 12:00:00 - 09/01/2015 13:00:00","BZN|CH","Without Sequence","47.90","",""
"09/01/2015 13:00:00 - 09/01/2015 14:00:00","BZN|CH","Without Sequence","46.98","",""
"09/01/2015 14:00:00 - 09/01/2015 15:00:00","BZN|CH","Without Sequence","46.92","",""
"09/01/2015 15:00:00 - 09/01/2015 16:00:00","BZN|CH","Without Sequence","46.95","",""
"09/01/2015 16:00:00 - 09/01/2015 17:00:00","BZN|CH","Without Sequence","46.95","",""
"09/01/2015 17:00:00 - 09/01/2015 18:00:00","BZN|CH","Without Sequence","45.96","",""
"09/01/2015 18:00:00 - 09/01/2015 19:00:00","BZN|CH","Without Sequence","45.91","",""
"09/01/2015 19:00:00 - 09/01/2015 20:00:00","BZN|CH","Without Sequence","44.94","",""
"09/01/2015 20:00:00 - 09/01/2015 21:00:00","BZN|CH","Without Sequence","44.58","",""
"09/01/2015 21:00:00 - 09/01/2015 22:00:00","BZN|CH","Without Sequence","44.95","",""
"09/01/2015 22:00:00 - 09/01/2015 23:00:00","BZN|CH","Without Sequence","45.66","",""
"09/01/2015 23:00:00 - 10/01/2015 00:00:00","BZN|CH","Without Sequence","43.28","",""
"10/01/2015 00:00:00 - 10/01/2015 01:00:00","BZN|CH","Without Sequence","37.06","",""
"10/01/2015 01:00:00 - 10/01/2015 02:00:00","BZN|CH","Without Sequence","35.08","",""
"10/01/2015 02:00:00 - 10/01/2015 03:00:00","BZN|CH","Without Sequence","32.04","",""
"10/01/2015 03:00:00 - 10/01/2015 04:00:00","BZN|CH","Without Sequence","32.00","",""
"10/01/2015 04:00:00 - 10/01/2015 05:00:00","BZN|CH","Without Sequence","29.86","",""
"10/01/2015 05:00:00 - 10/01/2015 06:00:00","BZN|CH","Without Sequence","32.00","",""
"10/01/2015 06:00:00 - 10/01/2015 07:00:00","BZN|CH","Without Sequence","30.99","",""
"10/01/2015 07:00:00 - 10/01/2015 08:00:00","BZN|CH","Without Sequence","37.08","",""
"10/01/2015 08:00:00 - 10/01/2015 09:00:00","BZN|CH","Without Sequence","41.06","",""
"10/01/2015 09:00:00 - 10/01/2015 10:00:00","BZN|CH","Without Sequence","41.47","",""
"10/01/2015 10:00:00 - 10/01/2015 11:00:00","BZN|CH","Without Sequence","42.01","",""
"10/01/2015 11:00:00 - 10/01/2015 12:00:00","BZN|CH","Without Sequence","42.75","",""
"10/01/2015 12:00:00 - 10/01/2015 13:00:00","BZN|CH","Without Sequence","41.81","",""
"10/01/2015 13:00:00 - 10/01/2015 14:00:00","BZN|CH","Without Sequence","37.06","",""
"10/01/2015 14:00:00 - 10/01/2015 15:00:00","BZN|CH","Without Sequence","41.10","",""
"10/01/2015 15:00:00 - 10/01/2015 16:00:00","BZN|CH","Without Sequence","43.71","",""
"10/01/2015 16:00:00 - 10/01/2015 17:00:00","BZN|CH","Without Sequence","44.92","",""
"10/01/2015 17:00:00 - 10/01/2015 18:00:00","BZN|CH","Without Sequence","45.83","",""
"10/01/2015 18:00:00 - 10/01/2015 19:00:00","BZN|CH","Without Sequence","44.96","",""
"10/01/2015 19:00:00 - 10/01/2015 20:00:00","BZN|CH","Without Sequence","42.05","",""
"10/01/2015 20:00:00 - 10/01/2015 21:00:00","BZN|CH","Without Sequence","41.42","",""
"10/01/2015 21:00:00 - 10/01/2015 22:00:00","BZN|CH","Without Sequence","41.40","",""
"10/01/2015 22:00:00 - 10/01/2015 23:00:00","BZN|CH","Without Sequence","41.45","",""
"10/01/2015 23:00:00 - 11/01/2015 00:00:00","BZN|CH","Without Sequence","32.07","",""
"11/01/2015 00:00:00 - 11/01/2015 01:00:00","BZN|CH","Without Sequence","37.63","",""
"11/01/2015 01:00:00 - 11/01/2015 02:00:00","BZN|CH","Without Sequence","29.37","",""
"11/01/2015 02:00:00 - 11/01/2015 03:00:00","BZN|CH","Without Sequence","25.09","",""
"11/01/2015 03:00:00 - 11/01/2015 04:00:00","BZN|CH","Without Sequence","12.08","",""
"11/01/2015 04:00:00 - 11/01/2015 05:00:00","BZN|CH","Without Sequence","11.02","",""
"11/01/2015 05:00:00 - 11/01/2015 06:00:00","BZN|CH","Without Sequence","11.09","",""
