"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"25/07/2015 03:00:00 - 25/07/2015 04:00:00","BZN|CH","Without Sequence","21.14","",""
"25/07/2015 04:00:00 - 25/07/2015 05:00:00","BZN|CH","Without Sequence","19.09","",""
"25/07/2015 05:00:00 - 25/07/2015 06:00:00","BZN|CH","Without Sequence","19.51","",""
"25/07/2015 06:00:00 - 25/07/2015 07:00:00","BZN|CH","Without Sequence","21.07","",""
"25/07/2015 07:00:00 - 25/07/2015 08:00:00","BZN|CH","Without Sequence","24.24","",""
"25/07/2015 08:00:00 - 25/07/2015 09:00:00","BZN|CH","Without Sequence","24.52","",""
"25/07/2015 09:00:00 - 25/07/2015 10:00:00","BZN|CH","Without Sequence","27.11","",""
"25/07/2015 10:00:00 - 25/07/2015 11:00:00","BZN|CH","Without Sequence","25.94","",""
"25/07/2015 11:00:00 - 25/07/2015 12:00:00","BZN|CH","Without Sequence","23.57","",""
"25/07/2015 12:00:00 - 25/07/2015 13:00:00","BZN|CH","Without Sequence","20.53","",""
"25/07/2015 13:00:00 - 25/07/2015 14:00:00","BZN|CH","Without Sequence","17.91","",""
"25/07/2015 14:00:00 - 25/07/2015 15:00:00","BZN|CH","Without Sequence","16.10","",""
"25/07/2015 15:00:00 - 25/07/2015 16:00:00","BZN|CH","Without Sequence","14.64","",""
"25/07/2015 16:00:00 - 25/07/2015 17:00:00","BZN|CH","Without Sequence","12.81","",""
"25/07/2015 17:00:00 - 25/07/2015 18:00:00","BZN|CH","Without Sequence","13.53","",""
"25/07/2015 18:00:00 - 25/07/2015 19:00:00","BZN|CH","Without Sequence","18.52","",""
"25/07/2015 19:00:00 - 25/07/2015 20:00:00","BZN|CH","Without Sequence","20.34","",""
"25/07/2015 20:00:00 - 25/07/2015 21:00:00","BZN|CH","Without Sequence","18.24","",""
"25/07/2015 21:00:00 - 25/07/2015 22:00:00","BZN|CH","Without Sequence","18.72","",""
"25/07/2015 22:00:00 - 25/07/2015 23:00:00","BZN|CH","Without Sequence","24.12","",""
"25/07/2015 23:00:00 - 26/07/2015 00:00:00","BZN|CH","Without Sequence","18.46","",""
"26/07/2015 00:00:00 - 26/07/2015 01:00:00","BZN|CH","Without Sequence","18.13","",""
"26/07/2015 01:00:00 - 26/07/2015 02:00:00","BZN|CH","Without Sequence","12.89","",""
"26/07/2015 02:00:00 - 26/07/2015 03:00:00","BZN|CH","Without Sequence","8.59","",""
"26/07/2015 03:00:00 - 26/07/2015 04:00:00","BZN|CH","Without Sequence","7.59","",""
"26/07/2015 04:00:00 - 26/07/2015 05:00:00","BZN|CH","Without Sequence","4.69","",""
"26/07/2015 05:00:00 - 26/07/2015 06:00:00","BZN|CH","Without Sequence","4.10","",""
"26/07/2015 06:00:00 - 26/07/2015 07:00:00","BZN|CH","Without Sequence","6.16","",""
"26/07/2015 07:00:00 - 26/07/2015 08:00:00","BZN|CH","Without Sequence","6.00","",""
"26/07/2015 08:00:00 - 26/07/2015 09:00:00","BZN|CH","Without Sequence","8.76","",""
"26/07/2015 09:00:00 - 26/07/2015 10:00:00","BZN|CH","Without Sequence","11.99","",""
"26/07/2015 10:00:00 - 26/07/2015 11:00:00","BZN|CH","Without Sequence","10.93","",""
"26/07/2015 11:00:00 - 26/07/2015 12:00:00","BZN|CH","Without Sequence","10.84","",""
"26/07/2015 12:00:00 - 26/07/2015 13:00:00","BZN|CH","Without Sequence","12.27","",""
"26/07/2015 13:00:00 - 26/07/2015 14:00:00","BZN|CH","Without Sequence","13.40","",""
"26/07/2015 14:00:00 - 26/07/2015 15:00:00","BZN|CH","Without Sequence","10.60","",""
"26/07/2015 15:00:00 - 26/07/2015 16:00:00","BZN|CH","Without Sequence","12.77","",""
"26/07/2015 16:00:00 - 26/07/2015 17:00:00","BZN|CH","Without Sequence","16.73","",""
"26/07/2015 17:00:00 - 26/07/2015 18:00:00","BZN|CH","Without Sequence","22.15","",""
"26/07/2015 18:00:00 - 26/07/2015 19:00:00","BZN|CH","Without Sequence","27.50","",""
"26/07/2015 19:00:00 - 26/07/2015 20:00:00","BZN|CH","Without Sequence","32.04","",""
"26/07/2015 20:00:00 - 26/07/2015 21:00:00","BZN|CH","Without Sequence","32.98","",""
"26/07/2015 21:00:00 - 26/07/2015 22:00:00","BZN|CH","Without Sequence","33.41","",""
"26/07/2015 22:00:00 - 26/07/2015 23:00:00","BZN|CH","Without Sequence","34.02","",""
"26/07/2015 23:00:00 - 27/07/2015 00:00:00","BZN|CH","Without Sequence","29.95","",""
"27/07/2015 00:00:00 - 27/07/2015 01:00:00","BZN|CH","Without Sequence","29.08","",""
"27/07/2015 01:00:00 - 27/07/2015 02:00:00","BZN|CH","Without Sequence","25.55","",""
"27/07/2015 02:00:00 - 27/07/2015 03:00:00","BZN|CH","Without Sequence","23.84","",""
"27/07/2015 03:00:00 - 27/07/2015 04:00:00","BZN|CH","Without Sequence","20.59","",""
"27/07/2015 04:00:00 - 27/07/2015 05:00:00","BZN|CH","Without Sequence","20.56","",""
"27/07/2015 05:00:00 - 27/07/2015 06:00:00","BZN|CH","Without Sequence","22.96","",""
"27/07/2015 06:00:00 - 27/07/2015 07:00:00","BZN|CH","Without Sequence","30.08","",""
"27/07/2015 07:00:00 - 27/07/2015 08:00:00","BZN|CH","Without Sequence","34.97","",""
"27/07/2015 08:00:00 - 27/07/2015 09:00:00","BZN|CH","Without Sequence","35.98","",""
"27/07/2015 09:00:00 - 27/07/2015 10:00:00","BZN|CH","Without Sequence","35.95","",""
"27/07/2015 10:00:00 - 27/07/2015 11:00:00","BZN|CH","Without Sequence","35.93","",""
"27/07/2015 11:00:00 - 27/07/2015 12:00:00","BZN|CH","Without Sequence","35.47","",""
"27/07/2015 12:00:00 - 27/07/2015 13:00:00","BZN|CH","Without Sequence","33.06","",""
"27/07/2015 13:00:00 - 27/07/2015 14:00:00","BZN|CH","Without Sequence","31.88","",""
"27/07/2015 14:00:00 - 27/07/2015 15:00:00","BZN|CH","Without Sequence","31.72","",""
"27/07/2015 15:00:00 - 27/07/2015 16:00:00","BZN|CH","Without Sequence","31.66","",""
"27/07/2015 16:00:00 - 27/07/2015 17:00:00","BZN|CH","Without Sequence","31.74","",""
"27/07/2015 17:00:00 - 27/07/2015 18:00:00","BZN|CH","Without Sequence","31.61","",""
"27/07/2015 18:00:00 - 27/07/2015 19:00:00","BZN|CH","Without Sequence","33.53","",""
"27/07/2015 19:00:00 - 27/07/2015 20:00:00","BZN|CH","Without Sequence","34.79","",""
"27/07/2015 20:00:00 - 27/07/2015 21:00:00","BZN|CH","Without Sequence","33.50","",""
"27/07/2015 21:00:00 - 27/07/2015 22:00:00","BZN|CH","Without Sequence","33.63","",""
"27/07/2015 22:00:00 - 27/07/2015 23:00:00","BZN|CH","Without Sequence","31.67","",""
"27/07/2015 23:00:00 - 28/07/2015 00:00:00","BZN|CH","Without Sequence","28.32","",""
"28/07/2015 00:00:00 - 28/07/2015 01:00:00","BZN|CH","Without Sequence","21.47","",""
"28/07/2015 01:00:00 - 28/07/2015 02:00:00","BZN|CH","Without Sequence","17.50","",""
"28/07/2015 02:00:00 - 28/07/2015 03:00:00","BZN|CH","Without Sequence","15.12","",""
"28/07/2015 03:00:00 - 28/07/2015 04:00:00","BZN|CH","Without Sequence","11.95","",""
"28/07/2015 04:00:00 - 28/07/2015 05:00:00","BZN|CH","Without Sequence","13.15","",""
"28/07/2015 05:00:00 - 28/07/2015 06:00:00","BZN|CH","Without Sequence","16.53","",""
"28/07/2015 06:00:00 - 28/07/2015 07:00:00","BZN|CH","Without Sequence","23.99","",""
"28/07/2015 07:00:00 - 28/07/2015 08:00:00","BZN|CH","Without Sequence","29.47","",""
"28/07/2015 08:00:00 - 28/07/2015 09:00:00","BZN|CH","Without Sequence","32.46","",""
"28/07/2015 09:00:00 - 28/07/2015 10:00:00","BZN|CH","Without Sequence","31.04","",""
"28/07/2015 10:00:00 - 28/07/2015 11:00:00","BZN|CH","Without Sequence","29.88","",""
"28/07/2015 11:00:00 - 28/07/2015 12:00:00","BZN|CH","Without Sequence","29.14","",""
"28/07/2015 12:00:00 - 28/07/2015 13:00:00","BZN|CH","Without Sequence","28.98","",""
"28/07/2015 13:00:00 - 28/07/2015 14:00:00","BZN|CH","Without Sequence","29.71","",""
"28/07/2015 14:00:00 - 28/07/2015 15:00:00","BZN|CH","Without Sequence","28.47","",""
"28/07/2015 15:00:00 - 28/07/2015 16:00:00","BZN|CH","Without Sequence","27.99","",""
"28/07/2015 16:00:00 - 28/07/2015 17:00:00","BZN|CH","Without Sequence","27.66","",""
"28/07/2015 17:00:00 - 28/07/2015 18:00:00","BZN|CH","Without Sequence","29.05","",""
"28/07/2015 18:00:00 - 28/07/2015 19:00:00","BZN|CH","Without Sequence","31.18","",""
"28/07/2015 19:00:00 - 28/07/2015 20:00:00","BZN|CH","Without Sequence","34.70","",""
"28/07/2015 20:00:00 - 28/07/2015 21:00:00","BZN|CH","Without Sequence","33.65","",""
"28/07/2015 21:00:00 - 28/07/2015 22:00:00","BZN|CH","Without Sequence","34.22","",""
"28/07/2015 22:00:00 - 28/07/2015 23:00:00","BZN|CH","Without Sequence","34.07","",""
"28/07/2015 23:00:00 - 29/07/2015 00:00:00","BZN|CH","Without Sequence","29.56","",""
"29/07/2015 00:00:00 - 29/07/2015 01:00:00","BZN|CH","Without Sequence","22.10","",""
"29/07/2015 01:00:00 - 29/07/2015 02:00:00","BZN|CH","Without Sequence","20.34","",""
"29/07/2015 02:00:00 - 29/07/2015 03:00:00","BZN|CH","Without Sequence","19.00","",""
"29/07/2015 03:00:00 - 29/07/2015 04:00:00","BZN|CH","Without Sequence","15.93","",""
"29/07/2015 04:00:00 - 29/07/2015 05:00:00","BZN|CH","Without Sequence","16.66","",""
"29/07/2015 05:00:00 - 29/07/2015 06:00:00","BZN|CH","Without Sequence","21.13","",""
"29/07/2015 06:00:00 - 29/07/2015 07:00:00","BZN|CH","Without Sequence","28.79","",""
"29/07/2015 07:00:00 - 29/07/2015 08:00:00","BZN|CH","Without Sequence","35.47","",""
"29/07/2015 08:00:00 - 29/07/2015 09:00:00","BZN|CH","Without Sequence","37.09","",""
"29/07/2015 09:00:00 - 29/07/2015 10:00:00","BZN|CH","Without Sequence","36.19","",""
"29/07/2015 10:00:00 - 29/07/2015 11:00:00","BZN|CH","Without Sequence","34.11","",""
"29/07/2015 11:00:00 - 29/07/2015 12:00:00","BZN|CH","Without Sequence","33.61","",""
"29/07/2015 12:00:00 - 29/07/2015 13:00:00","BZN|CH","Without Sequence","31.03","",""
"29/07/2015 13:00:00 - 29/07/2015 14:00:00","BZN|CH","Without Sequence","30.03","",""
"29/07/2015 14:00:00 - 29/07/2015 15:00:00","BZN|CH","Without Sequence","28.57","",""
"29/07/2015 15:00:00 - 29/07/2015 16:00:00","BZN|CH","Without Sequence","28.02","",""
"29/07/2015 16:00:00 - 29/07/2015 17:00:00","BZN|CH","Without Sequence","27.81","",""
"29/07/2015 17:00:00 - 29/07/2015 18:00:00","BZN|CH","Without Sequence","28.00","",""
"29/07/2015 18:00:00 - 29/07/2015 19:00:00","BZN|CH","Without Sequence","29.73","",""
"29/07/2015 19:00:00 - 29/07/2015 20:00:00","BZN|CH","Without Sequence","30.77","",""
"29/07/2015 20:00:00 - 29/07/2015 21:00:00","BZN|CH","Without Sequence","27.74","",""
"29/07/2015 21:00:00 - 29/07/2015 22:00:00","BZN|CH","Without Sequence","27.26","",""
"29/07/2015 22:00:00 - 29/07/2015 23:00:00","BZN|CH","Without Sequence","27.10","",""
"29/07/2015 23:00:00 - 30/07/2015 00:00:00","BZN|CH","Without Sequence","21.09","",""
"30/07/2015 00:00:00 - 30/07/2015 01:00:00","BZN|CH","Without Sequence","16.51","",""
"30/07/2015 01:00:00 - 30/07/2015 02:00:00","BZN|CH","Without Sequence","14.13","",""
"30/07/2015 02:00:00 - 30/07/2015 03:00:00","BZN|CH","Without Sequence","12.17","",""
"30/07/2015 03:00:00 - 30/07/2015 04:00:00","BZN|CH","Without Sequence","10.09","",""
"30/07/2015 04:00:00 - 30/07/2015 05:00:00","BZN|CH","Without Sequence","10.84","",""
"30/07/2015 05:00:00 - 30/07/2015 06:00:00","BZN|CH","Without Sequence","14.85","",""
"30/07/2015 06:00:00 - 30/07/2015 07:00:00","BZN|CH","Without Sequence","22.02","",""
"30/07/2015 07:00:00 - 30/07/2015 08:00:00","BZN|CH","Without Sequence","29.07","",""
"30/07/2015 08:00:00 - 30/07/2015 09:00:00","BZN|CH","Without Sequence","30.03","",""
"30/07/2015 09:00:00 - 30/07/2015 10:00:00","BZN|CH","Without Sequence","28.13","",""
"30/07/2015 10:00:00 - 30/07/2015 11:00:00","BZN|CH","Without Sequence","26.98","",""
"30/07/2015 11:00:00 - 30/07/2015 12:00:00","BZN|CH","Without Sequence","28.80","",""
"30/07/2015 12:00:00 - 30/07/2015 13:00:00","BZN|CH","Without Sequence","28.77","",""
"30/07/2015 13:00:00 - 30/07/2015 14:00:00","BZN|CH","Without Sequence","28.34","",""
"30/07/2015 14:00:00 - 30/07/2015 15:00:00","BZN|CH","Without Sequence","29.00","",""
"30/07/2015 15:00:00 - 30/07/2015 16:00:00","BZN|CH","Without Sequence","28.51","",""
"30/07/2015 16:00:00 - 30/07/2015 17:00:00","BZN|CH","Without Sequence","30.16","",""
"30/07/2015 17:00:00 - 30/07/2015 18:00:00","BZN|CH","Without Sequence","33.01","",""
"30/07/2015 18:00:00 - 30/07/2015 19:00:00","BZN|CH","Without Sequence","36.36","",""
"30/07/2015 19:00:00 - 30/07/2015 20:00:00","BZN|CH","Without Sequence","39.83","",""
"30/07/2015 20:00:00 - 30/07/2015 21:00:00","BZN|CH","Without Sequence","39.63","",""
"30/07/2015 21:00:00 - 30/07/2015 22:00:00","BZN|CH","Without Sequence","39.72","",""
"30/07/2015 22:00:00 - 30/07/2015 23:00:00","BZN|CH","Without Sequence","38.17","",""
"30/07/2015 23:00:00 - 31/07/2015 00:00:00","BZN|CH","Without Sequence","32.35","",""
"31/07/2015 00:00:00 - 31/07/2015 01:00:00","BZN|CH","Without Sequence","26.31","",""
"31/07/2015 01:00:00 - 31/07/2015 02:00:00","BZN|CH","Without Sequence","24.20","",""
"31/07/2015 02:00:00 - 31/07/2015 03:00:00","BZN|CH","Without Sequence","22.08","",""
"31/07/2015 03:00:00 - 31/07/2015 04:00:00","BZN|CH","Without Sequence","20.10","",""
"31/07/2015 04:00:00 - 31/07/2015 05:00:00","BZN|CH","Without Sequence","21.30","",""
"31/07/2015 05:00:00 - 31/07/2015 06:00:00","BZN|CH","Without Sequence","25.65","",""
"31/07/2015 06:00:00 - 31/07/2015 07:00:00","BZN|CH","Without Sequence","33.40","",""
"31/07/2015 07:00:00 - 31/07/2015 08:00:00","BZN|CH","Without Sequence","39.47","",""
"31/07/2015 08:00:00 - 31/07/2015 09:00:00","BZN|CH","Without Sequence","41.53","",""
"31/07/2015 09:00:00 - 31/07/2015 10:00:00","BZN|CH","Without Sequence","39.00","",""
"31/07/2015 10:00:00 - 31/07/2015 11:00:00","BZN|CH","Without Sequence","35.54","",""
"31/07/2015 11:00:00 - 31/07/2015 12:00:00","BZN|CH","Without Sequence","34.96","",""
"31/07/2015 12:00:00 - 31/07/2015 13:00:00","BZN|CH","Without Sequence","32.89","",""
"31/07/2015 13:00:00 - 31/07/2015 14:00:00","BZN|CH","Without Sequence","31.25","",""
"31/07/2015 14:00:00 - 31/07/2015 15:00:00","BZN|CH","Without Sequence","30.32","",""
"31/07/2015 15:00:00 - 31/07/2015 16:00:00","BZN|CH","Without Sequence","30.82","",""
"31/07/2015 16:00:00 - 31/07/2015 17:00:00","BZN|CH","Without Sequence","32.69","",""
"31/07/2015 17:00:00 - 31/07/2015 18:00:00","BZN|CH","Without Sequence","35.95","",""
"31/07/2015 18:00:00 - 31/07/2015 19:00:00","BZN|CH","Without Sequence","41.31","",""
"31/07/2015 19:00:00 - 31/07/2015 20:00:00","BZN|CH","Without Sequence","44.18","",""
"31/07/2015 20:00:00 - 31/07/2015 21:00:00","BZN|CH","Without Sequence","42.85","",""
"31/07/2015 21:00:00 - 31/07/2015 22:00:00","BZN|CH","Without Sequence","41.72","",""
"31/07/2015 22:00:00 - 31/07/2015 23:00:00","BZN|CH","Without Sequence","41.04","",""
"31/07/2015 23:00:00 - 01/08/2015 00:00:00","BZN|CH","Without Sequence","36.07","",""
"01/08/2015 00:00:00 - 01/08/2015 01:00:00","BZN|CH","Without Sequence","29.15","",""
"01/08/2015 01:00:00 - 01/08/2015 02:00:00","BZN|CH","Without Sequence","26.72","",""
"01/08/2015 02:00:00 - 01/08/2015 03:00:00","BZN|CH","Without Sequence","25.13","",""
"01/08/2015 03:00:00 - 01/08/2015 04:00:00","BZN|CH","Without Sequence","24.08","",""
"01/08/2015 04:00:00 - 01/08/2015 05:00:00","BZN|CH","Without Sequence","24.13","",""
"01/08/2015 05:00:00 - 01/08/2015 06:00:00","BZN|CH","Without Sequence","23.43","",""
"01/08/2015 06:00:00 - 01/08/2015 07:00:00","BZN|CH","Without Sequence","24.32","",""
"01/08/2015 07:00:00 - 01/08/2015 08:00:00","BZN|CH","Without Sequence","26.17","",""
"01/08/2015 08:00:00 - 01/08/2015 09:00:00","BZN|CH","Without Sequence","29.24","",""
"01/08/2015 09:00:00 - 01/08/2015 10:00:00","BZN|CH","Without Sequence","29.08","",""
"01/08/2015 10:00:00 - 01/08/2015 11:00:00","BZN|CH","Without Sequence","26.52","",""
"01/08/2015 11:00:00 - 01/08/2015 12:00:00","BZN|CH","Without Sequence","25.54","",""
"01/08/2015 12:00:00 - 01/08/2015 13:00:00","BZN|CH","Without Sequence","26.58","",""
"01/08/2015 13:00:00 - 01/08/2015 14:00:00","BZN|CH","Without Sequence","24.07","",""
"01/08/2015 14:00:00 - 01/08/2015 15:00:00","BZN|CH","Without Sequence","23.43","",""
"01/08/2015 15:00:00 - 01/08/2015 16:00:00","BZN|CH","Without Sequence","23.05","",""
"01/08/2015 16:00:00 - 01/08/2015 17:00:00","BZN|CH","Without Sequence","25.30","",""
"01/08/2015 17:00:00 - 01/08/2015 18:00:00","BZN|CH","Without Sequence","29.91","",""
"01/08/2015 18:00:00 - 01/08/2015 19:00:00","BZN|CH","Without Sequence","33.10","",""
"01/08/2015 19:00:00 - 01/08/2015 20:00:00","BZN|CH","Without Sequence","34.10","",""
"01/08/2015 20:00:00 - 01/08/2015 21:00:00","BZN|CH","Without Sequence","34.78","",""
"01/08/2015 21:00:00 - 01/08/2015 22:00:00","BZN|CH","Without Sequence","33.53","",""
"01/08/2015 22:00:00 - 01/08/2015 23:00:00","BZN|CH","Without Sequence","32.16","",""
"01/08/2015 23:00:00 - 02/08/2015 00:00:00","BZN|CH","Without Sequence","28.32","",""
"02/08/2015 00:00:00 - 02/08/2015 01:00:00","BZN|CH","Without Sequence","26.07","",""
"02/08/2015 01:00:00 - 02/08/2015 02:00:00","BZN|CH","Without Sequence","23.05","",""
"02/08/2015 02:00:00 - 02/08/2015 03:00:00","BZN|CH","Without Sequence","21.56","",""
"02/08/2015 03:00:00 - 02/08/2015 04:00:00","BZN|CH","Without Sequence","19.07","",""
"02/08/2015 04:00:00 - 02/08/2015 05:00:00","BZN|CH","Without Sequence","18.65","",""
"02/08/2015 05:00:00 - 02/08/2015 06:00:00","BZN|CH","Without Sequence","19.16","",""
"02/08/2015 06:00:00 - 02/08/2015 07:00:00","BZN|CH","Without Sequence","19.04","",""
"02/08/2015 07:00:00 - 02/08/2015 08:00:00","BZN|CH","Without Sequence","19.88","",""
"02/08/2015 08:00:00 - 02/08/2015 09:00:00","BZN|CH","Without Sequence","18.71","",""
"02/08/2015 09:00:00 - 02/08/2015 10:00:00","BZN|CH","Without Sequence","18.27","",""
"02/08/2015 10:00:00 - 02/08/2015 11:00:00","BZN|CH","Without Sequence","15.00","",""
"02/08/2015 11:00:00 - 02/08/2015 12:00:00","BZN|CH","Without Sequence","15.97","",""
"02/08/2015 12:00:00 - 02/08/2015 13:00:00","BZN|CH","Without Sequence","15.76","",""
"02/08/2015 13:00:00 - 02/08/2015 14:00:00","BZN|CH","Without Sequence","14.07","",""
"02/08/2015 14:00:00 - 02/08/2015 15:00:00","BZN|CH","Without Sequence","12.57","",""
"02/08/2015 15:00:00 - 02/08/2015 16:00:00","BZN|CH","Without Sequence","13.01","",""
"02/08/2015 16:00:00 - 02/08/2015 17:00:00","BZN|CH","Without Sequence","15.17","",""
"02/08/2015 17:00:00 - 02/08/2015 18:00:00","BZN|CH","Without Sequence","21.46","",""
"02/08/2015 18:00:00 - 02/08/2015 19:00:00","BZN|CH","Without Sequence","28.00","",""
"02/08/2015 19:00:00 - 02/08/2015 20:00:00","BZN|CH","Without Sequence","31.94","",""
"02/08/2015 20:00:00 - 02/08/2015 21:00:00","BZN|CH","Without Sequence","32.74","",""
"02/08/2015 21:00:00 - 02/08/2015 22:00:00","BZN|CH","Without Sequence","33.06","",""
"02/08/2015 22:00:00 - 02/08/2015 23:00:00","BZN|CH","Without Sequence","33.06","",""
"02/08/2015 23:00:00 - 03/08/2015 00:00:00","BZN|CH","Without Sequence","28.82","",""
"03/08/2015 00:00:00 - 03/08/2015 01:00:00","BZN|CH","Without Sequence","25.01","",""
"03/08/2015 01:00:00 - 03/08/2015 02:00:00","BZN|CH","Without Sequence","22.52","",""
"03/08/2015 02:00:00 - 03/08/2015 03:00:00","BZN|CH","Without Sequence","20.90","",""
"03/08/2015 03:00:00 - 03/08/2015 04:00:00","BZN|CH","Without Sequence","18.81","",""
"03/08/2015 04:00:00 - 03/08/2015 05:00:00","BZN|CH","Without Sequence","18.08","",""
"03/08/2015 05:00:00 - 03/08/2015 06:00:00","BZN|CH","Without Sequence","23.37","",""
"03/08/2015 06:00:00 - 03/08/2015 07:00:00","BZN|CH","Without Sequence","31.11","",""
"03/08/2015 07:00:00 - 03/08/2015 08:00:00","BZN|CH","Without Sequence","37.55","",""
"03/08/2015 08:00:00 - 03/08/2015 09:00:00","BZN|CH","Without Sequence","38.09","",""
"03/08/2015 09:00:00 - 03/08/2015 10:00:00","BZN|CH","Without Sequence","37.09","",""
"03/08/2015 10:00:00 - 03/08/2015 11:00:00","BZN|CH","Without Sequence","35.53","",""
"03/08/2015 11:00:00 - 03/08/2015 12:00:00","BZN|CH","Without Sequence","35.14","",""
"03/08/2015 12:00:00 - 03/08/2015 13:00:00","BZN|CH","Without Sequence","34.52","",""
"03/08/2015 13:00:00 - 03/08/2015 14:00:00","BZN|CH","Without Sequence","33.10","",""
"03/08/2015 14:00:00 - 03/08/2015 15:00:00","BZN|CH","Without Sequence","32.02","",""
"03/08/2015 15:00:00 - 03/08/2015 16:00:00","BZN|CH","Without Sequence","31.48","",""
"03/08/2015 16:00:00 - 03/08/2015 17:00:00","BZN|CH","Without Sequence","34.59","",""
"03/08/2015 17:00:00 - 03/08/2015 18:00:00","BZN|CH","Without Sequence","37.71","",""
"03/08/2015 18:00:00 - 03/08/2015 19:00:00","BZN|CH","Without Sequence","40.26","",""
"03/08/2015 19:00:00 - 03/08/2015 20:00:00","BZN|CH","Without Sequence","43.41","",""
"03/08/2015 20:00:00 - 03/08/2015 21:00:00","BZN|CH","Without Sequence","42.07","",""
"03/08/2015 21:00:00 - 03/08/2015 22:00:00","BZN|CH","Without Sequence","41.75","",""
"03/08/2015 22:00:00 - 03/08/2015 23:00:00","BZN|CH","Without Sequence","40.57","",""
"03/08/2015 23:00:00 - 04/08/2015 00:00:00","BZN|CH","Without Sequence","34.37","",""
"04/08/2015 00:00:00 - 04/08/2015 01:00:00","BZN|CH","Without Sequence","28.04","",""
"04/08/2015 01:00:00 - 04/08/2015 02:00:00","BZN|CH","Without Sequence","24.42","",""
"04/08/2015 02:00:00 - 04/08/2015 03:00:00","BZN|CH","Without Sequence","22.03","",""
"04/08/2015 03:00:00 - 04/08/2015 04:00:00","BZN|CH","Without Sequence","19.35","",""
"04/08/2015 04:00:00 - 04/08/2015 05:00:00","BZN|CH","Without Sequence","19.78","",""
"04/08/2015 05:00:00 - 04/08/2015 06:00:00","BZN|CH","Without Sequence","24.14","",""
"04/08/2015 06:00:00 - 04/08/2015 07:00:00","BZN|CH","Without Sequence","30.16","",""
"04/08/2015 07:00:00 - 04/08/2015 08:00:00","BZN|CH","Without Sequence","37.95","",""
"04/08/2015 08:00:00 - 04/08/2015 09:00:00","BZN|CH","Without Sequence","41.76","",""
"04/08/2015 09:00:00 - 04/08/2015 10:00:00","BZN|CH","Without Sequence","40.06","",""
"04/08/2015 10:00:00 - 04/08/2015 11:00:00","BZN|CH","Without Sequence","38.02","",""
"04/08/2015 11:00:00 - 04/08/2015 12:00:00","BZN|CH","Without Sequence","37.73","",""
"04/08/2015 12:00:00 - 04/08/2015 13:00:00","BZN|CH","Without Sequence","34.38","",""
"04/08/2015 13:00:00 - 04/08/2015 14:00:00","BZN|CH","Without Sequence","34.40","",""
"04/08/2015 14:00:00 - 04/08/2015 15:00:00","BZN|CH","Without Sequence","34.52","",""
"04/08/2015 15:00:00 - 04/08/2015 16:00:00","BZN|CH","Without Sequence","33.62","",""
"04/08/2015 16:00:00 - 04/08/2015 17:00:00","BZN|CH","Without Sequence","34.10","",""
"04/08/2015 17:00:00 - 04/08/2015 18:00:00","BZN|CH","Without Sequence","37.08","",""
"04/08/2015 18:00:00 - 04/08/2015 19:00:00","BZN|CH","Without Sequence","38.83","",""
"04/08/2015 19:00:00 - 04/08/2015 20:00:00","BZN|CH","Without Sequence","39.62","",""
"04/08/2015 20:00:00 - 04/08/2015 21:00:00","BZN|CH","Without Sequence","37.14","",""
"04/08/2015 21:00:00 - 04/08/2015 22:00:00","BZN|CH","Without Sequence","37.09","",""
"04/08/2015 22:00:00 - 04/08/2015 23:00:00","BZN|CH","Without Sequence","37.21","",""
"04/08/2015 23:00:00 - 05/08/2015 00:00:00","BZN|CH","Without Sequence","30.05","",""
"05/08/2015 00:00:00 - 05/08/2015 01:00:00","BZN|CH","Without Sequence","27.86","",""
"05/08/2015 01:00:00 - 05/08/2015 02:00:00","BZN|CH","Without Sequence","27.01","",""
"05/08/2015 02:00:00 - 05/08/2015 03:00:00","BZN|CH","Without Sequence","26.06","",""
"05/08/2015 03:00:00 - 05/08/2015 04:00:00","BZN|CH","Without Sequence","22.89","",""
"05/08/2015 04:00:00 - 05/08/2015 05:00:00","BZN|CH","Without Sequence","24.04","",""
"05/08/2015 05:00:00 - 05/08/2015 06:00:00","BZN|CH","Without Sequence","27.58","",""
"05/08/2015 06:00:00 - 05/08/2015 07:00:00","BZN|CH","Without Sequence","32.62","",""
"05/08/2015 07:00:00 - 05/08/2015 08:00:00","BZN|CH","Without Sequence","39.03","",""
"05/08/2015 08:00:00 - 05/08/2015 09:00:00","BZN|CH","Without Sequence","38.60","",""
"05/08/2015 09:00:00 - 05/08/2015 10:00:00","BZN|CH","Without Sequence","38.04","",""
"05/08/2015 10:00:00 - 05/08/2015 11:00:00","BZN|CH","Without Sequence","37.08","",""
"05/08/2015 11:00:00 - 05/08/2015 12:00:00","BZN|CH","Without Sequence","37.32","",""
"05/08/2015 12:00:00 - 05/08/2015 13:00:00","BZN|CH","Without Sequence","36.02","",""
"05/08/2015 13:00:00 - 05/08/2015 14:00:00","BZN|CH","Without Sequence","35.07","",""
"05/08/2015 14:00:00 - 05/08/2015 15:00:00","BZN|CH","Without Sequence","34.59","",""
"05/08/2015 15:00:00 - 05/08/2015 16:00:00","BZN|CH","Without Sequence","35.01","",""
"05/08/2015 16:00:00 - 05/08/2015 17:00:00","BZN|CH","Without Sequence","37.31","",""
